epoch,learning_rate,loss,mape,r2_score,val_loss,val_mape,val_r2_score
0,0.0010000000474974513,4.194282531738281,86.26585388183594,-32.0948371887207,4.610559940338135,94.489501953125,-91.11473083496094
1,0.0010000000474974513,3.750394582748413,76.85533142089844,-27.074695587158203,4.470793724060059,91.72843933105469,-86.8519515991211
2,0.0010000000474974513,3.4653141498565674,70.21212005615234,-25.52225685119629,4.3441853523254395,89.22818756103516,-83.53248596191406
3,0.0010000000474974513,3.1459927558898926,64.19649505615234,-23.060243606567383,4.242217063903809,87.20963287353516,-81.12847137451172
4,0.0010000000474974513,2.9608750343322754,59.595436096191406,-21.3372859954834,4.174041271209717,85.85504150390625,-79.59801483154297
5,0.0010000000474974513,2.920022487640381,59.31407928466797,-20.4665584564209,4.125205039978027,84.87901306152344,-78.47882080078125
6,0.0010000000474974513,2.783925771713257,56.5865592956543,-19.182674407958984,4.094597339630127,84.2613296508789,-77.71165466308594
7,0.0010000000474974513,2.762091875076294,56.08726119995117,-18.82122230529785,4.087996482849121,84.12139892578125,-77.44178771972656
8,0.0010000000474974513,2.485255718231201,50.00183868408203,-16.740047454833984,4.098634243011475,84.32604217529297,-77.54052734375
9,0.0010000000474974513,2.5084211826324463,50.75984573364258,-17.051050186157227,4.112641334533691,84.59459686279297,-77.67247009277344
10,0.0010000000474974513,2.3598361015319824,47.96341323852539,-15.957159042358398,4.135074138641357,85.03070831298828,-77.99443054199219
11,0.0010000000474974513,2.2638580799102783,45.743919372558594,-15.258745193481445,4.138350009918213,85.08753967285156,-77.96403503417969
12,0.0010000000474974513,2.259350299835205,45.9542236328125,-15.249975204467773,4.108508586883545,84.49141693115234,-77.27263641357422
13,0.0010000000474974513,2.39062237739563,49.0125846862793,-15.984127044677734,4.045688152313232,83.29308319091797,-75.37437438964844
14,0.0010000000474974513,2.407257556915283,49.1192741394043,-15.925867080688477,3.998169183731079,82.39139556884766,-73.96730041503906
15,0.0010000000474974513,2.147763729095459,44.044219970703125,-14.951774597167969,3.9434621334075928,81.35333251953125,-72.37440490722656
16,0.0010000000474974513,2.142265558242798,43.42976379394531,-14.826358795166016,3.9011237621307373,80.56126403808594,-71.00469207763672
17,0.0010000000474974513,2.2586560249328613,46.1703987121582,-15.146217346191406,3.8587348461151123,79.7691421508789,-69.60374450683594
18,0.0010000000474974513,2.165618896484375,43.95096969604492,-14.736162185668945,3.832530975341797,79.29247283935547,-68.59696960449219
19,0.0010000000474974513,2.2184109687805176,44.876129150390625,-15.323196411132812,3.8349287509918213,79.37288665771484,-68.23895263671875
20,0.0010000000474974513,2.255681037902832,46.293399810791016,-15.401840209960938,3.831040143966675,79.33194732666016,-67.73316192626953
21,0.0010000000474974513,2.2144930362701416,44.936180114746094,-15.172727584838867,3.797212600708008,78.6944580078125,-66.83472442626953
22,0.0010000000474974513,2.3208024501800537,47.226993560791016,-15.357044219970703,3.7719643115997314,78.2190170288086,-66.21018981933594
23,0.0010000000474974513,2.1702351570129395,44.66646194458008,-14.735391616821289,3.715956211090088,77.14222717285156,-65.04975128173828
24,0.0010000000474974513,2.1719272136688232,44.313629150390625,-15.061233520507812,3.6577067375183105,76.01844024658203,-63.96746063232422
25,0.0010000000474974513,2.1081767082214355,42.814796447753906,-14.619268417358398,3.6175482273101807,75.25713348388672,-63.123077392578125
26,0.0010000000474974513,2.2285099029541016,45.183597564697266,-14.978025436401367,3.5783333778381348,74.51410675048828,-62.30744552612305
27,0.0010000000474974513,2.119467258453369,43.20333480834961,-14.662787437438965,3.542834997177124,73.8505859375,-61.45936584472656
28,0.0010000000474974513,2.1821677684783936,44.73219680786133,-14.82791805267334,3.5057907104492188,73.15670013427734,-60.36558151245117
29,0.0010000000474974513,2.1788620948791504,44.52707290649414,-14.918267250061035,3.4677069187164307,72.43802642822266,-59.30527114868164
30,0.0010000000474974513,2.1014153957366943,42.90911102294922,-14.682856559753418,3.4349920749664307,71.81948852539062,-58.432472229003906
31,0.0010000000474974513,2.173936128616333,44.74774932861328,-14.781590461730957,3.4254651069641113,71.64921569824219,-57.938804626464844
32,0.0010000000474974513,2.0402004718780518,41.816497802734375,-14.551558494567871,3.3865623474121094,70.89783477783203,-57.32808303833008
33,0.0010000000474974513,2.084510087966919,42.20598220825195,-14.683414459228516,3.337427854537964,69.95320129394531,-56.51047897338867
34,0.0010000000474974513,2.090413808822632,42.72942352294922,-14.624473571777344,3.3113181591033936,69.4703369140625,-55.6240234375
35,0.0010000000474974513,2.0086796283721924,40.868797302246094,-14.126501083374023,3.3166449069976807,69.60847473144531,-54.95625686645508
36,0.0010000000474974513,2.0763888359069824,42.30406951904297,-14.58245849609375,3.32019305229187,69.70560455322266,-54.4776725769043
37,0.0010000000474974513,2.0833499431610107,42.29964065551758,-14.606776237487793,3.282809019088745,68.98501586914062,-53.8480224609375
38,0.0010000000474974513,2.1322436332702637,44.091522216796875,-14.860143661499023,3.2288382053375244,67.94743347167969,-53.048866271972656
39,0.0010000000474974513,2.056858539581299,41.89093017578125,-14.541049003601074,3.195364475250244,67.3177719116211,-52.30850601196289
40,0.0010000000474974513,1.996034026145935,40.621334075927734,-13.815536499023438,3.17718505859375,66.99253845214844,-51.610511779785156
41,0.0010000000474974513,2.0318970680236816,41.191375732421875,-14.494757652282715,3.1659762859344482,66.79823303222656,-51.1093635559082
42,0.0010000000474974513,2.0000250339508057,40.32455825805664,-14.428252220153809,3.1394596099853516,66.3017349243164,-50.566532135009766
43,0.0010000000474974513,2.0767438411712646,42.61865997314453,-14.448073387145996,3.0945146083831787,65.44098663330078,-49.9705924987793
44,0.0010000000474974513,1.9006400108337402,38.8466796875,-13.942058563232422,3.0847055912017822,65.27494049072266,-49.385581970214844
45,0.0010000000474974513,2.0983543395996094,43.158016204833984,-14.343117713928223,3.0617218017578125,64.85640716552734,-48.62039566040039
46,0.0010000000474974513,2.043123245239258,41.93706512451172,-14.475602149963379,3.0121920108795166,63.91682815551758,-47.71575164794922
47,0.0010000000474974513,2.009080410003662,40.805850982666016,-13.940521240234375,2.9389705657958984,62.511077880859375,-46.85818099975586
48,0.0010000000474974513,1.9923862218856812,40.634490966796875,-13.929872512817383,2.912230968475342,62.0076904296875,-46.414527893066406
49,0.0010000000474974513,1.9692860841751099,40.23334503173828,-13.55922794342041,2.9345736503601074,62.46795654296875,-46.20555877685547
50,0.0010000000474974513,2.047616958618164,41.61888122558594,-14.51252269744873,2.960460901260376,63.00360107421875,-46.007667541503906
51,0.0010000000474974513,2.0235981941223145,41.3735237121582,-14.317853927612305,2.9667041301727295,63.15169143676758,-45.833797454833984
52,0.0010000000474974513,1.9270764589309692,39.19438171386719,-13.319854736328125,2.9449973106384277,62.71381759643555,-45.040283203125
53,0.0010000000474974513,2.1209311485290527,43.207794189453125,-15.019477844238281,2.8573155403137207,60.9754524230957,-43.48307800292969
54,0.0010000000474974513,1.9514038562774658,39.8273811340332,-13.584613800048828,2.7632296085357666,59.13065719604492,-42.657867431640625
55,0.0010000000474974513,2.1142654418945312,43.394775390625,-14.346538543701172,2.733365774154663,58.56356430053711,-42.5546989440918
56,0.0010000000474974513,2.0652472972869873,42.741268157958984,-14.216606140136719,2.738913059234619,58.68022918701172,-42.152320861816406
57,0.0010000000474974513,1.9604932069778442,40.062355041503906,-13.648529052734375,2.7755630016326904,59.39835739135742,-41.825531005859375
58,0.0010000000474974513,1.9440432786941528,39.77962875366211,-12.968538284301758,2.7647202014923096,59.16295623779297,-40.607032775878906
59,0.0010000000474974513,2.032278060913086,41.61930465698242,-14.205121040344238,2.692981243133545,57.74542236328125,-39.01383590698242
60,0.0010000000474974513,1.9253602027893066,39.31441879272461,-13.091793060302734,2.625967264175415,56.4266357421875,-37.909156799316406
61,0.0010000000474974513,1.9558216333389282,39.883602142333984,-13.233270645141602,2.6187286376953125,56.29962158203125,-37.66227722167969
62,0.0010000000474974513,2.065275192260742,42.57235336303711,-13.839934349060059,2.5563981533050537,55.100067138671875,-37.23590850830078
63,0.0010000000474974513,2.0288398265838623,41.6859245300293,-13.854103088378906,2.4799764156341553,53.601924896240234,-36.62451171875
64,0.0010000000474974513,1.9451109170913696,40.194644927978516,-12.660906791687012,2.4196255207061768,52.402069091796875,-35.90776443481445
65,0.0010000000474974513,1.8972934484481812,39.39936065673828,-11.912057876586914,2.3521499633789062,51.050933837890625,-34.49473190307617
