epoch,learning_rate,loss,mape,r2_score,val_loss,val_mape,val_r2_score
0,0.0010000000474974513,4.317133903503418,89.0438232421875,-36.51715087890625,4.223635673522949,86.47554779052734,-35.763023376464844
1,0.0010000000474974513,3.8079264163970947,78.85958099365234,-30.00482749938965,3.9701764583587646,81.3265380859375,-32.72653579711914
2,0.0010000000474974513,3.436405658721924,71.16048431396484,-27.174776077270508,3.6693570613861084,74.99085998535156,-29.85488510131836
3,0.0010000000474974513,3.191326856613159,65.74569702148438,-24.992042541503906,3.4297986030578613,69.66868591308594,-27.91648292541504
4,0.0010000000474974513,3.0118777751922607,61.68476486206055,-23.292831420898438,3.2684760093688965,65.67960357666016,-26.768936157226562
5,0.0010000000474974513,2.926032304763794,59.89801788330078,-22.467153549194336,3.267707586288452,65.95832824707031,-26.496694564819336
6,0.0010000000474974513,2.8038153648376465,57.22077941894531,-21.10830307006836,3.2444567680358887,65.46058654785156,-26.235179901123047
7,0.0010000000474974513,2.723959445953369,55.752342224121094,-20.264400482177734,3.2141835689544678,64.64834594726562,-25.89015007019043
8,0.0010000000474974513,2.4900834560394287,50.661590576171875,-18.802770614624023,3.1831881999969482,64.02249908447266,-25.48482894897461
9,0.0010000000474974513,2.5276200771331787,51.54802703857422,-18.992605209350586,3.137907028198242,63.18759536743164,-24.960710525512695
10,0.0010000000474974513,2.4001150131225586,49.39518737792969,-17.753677368164062,3.045884132385254,61.524513244628906,-24.02415657043457
11,0.0010000000474974513,2.403623342514038,49.66858673095703,-17.769834518432617,2.9532651901245117,59.77634048461914,-23.079700469970703
12,0.0010000000474974513,2.301612615585327,47.254085540771484,-17.348867416381836,2.912156105041504,59.069644927978516,-22.543010711669922
13,0.0010000000474974513,2.171065092086792,44.64446258544922,-15.677396774291992,2.868454933166504,58.21228790283203,-22.049179077148438
14,0.0010000000474974513,2.2196242809295654,45.66951370239258,-15.712656021118164,2.7697436809539795,55.88732147216797,-21.343767166137695
15,0.0010000000474974513,2.3308002948760986,48.77106475830078,-16.876333236694336,2.6498475074768066,53.32796096801758,-20.52802848815918
16,0.0010000000474974513,2.1530921459198,44.82078170776367,-15.433446884155273,2.6272940635681152,53.17485046386719,-20.063589096069336
